time_ms,equity,cash,positions,gross,initial_risk,short_initial_risk,short_gross
1612555200000,109243.26165865597,100522.03541981327,2,95393.05238795321,4144.398088359964,0.0,0.0
1612569600000,110411.20441900704,100522.03541981327,2,96560.99514830428,4144.398088359964,0.0,0.0
1612584000000,110746.33732502424,100449.67801115253,2,96968.48546298221,4144.398088359964,0.0,0.0
1612598400000,110427.53341852801,100449.67801115253,2,96649.68155648599,4144.398088359964,0.0,0.0
1612612800000,111676.54509251849,100365.1678858067,2,97983.20335582229,4144.398088359964,0.0,0.0
1612627200000,112305.5186244954,100365.1678858067,2,98612.1768877992,4144.398088359964,0.0,0.0
1612641600000,112313.10145030779,100245.13378062312,2,98739.79381879518,4144.398088359964,0.0,0.0
1612656000000,110134.1564916172,100245.13378062312,2,96560.8488601046,4144.398088359964,0.0,0.0
1612670400000,108132.8173135673,100087.79784136226,2,94716.84562131554,4144.398088359964,0.0,0.0
1612684800000,108298.10956430274,105514.97470528493,1,50372.622911987295,2117.302523145415,0.0,0.0
1612699200000,108355.07196860772,105482.1711211733,1,50462.3889004039,2117.302523145415,0.0,0.0
1612713600000,106858.72711083395,105482.1711211733,1,48966.04404263012,2117.302523145415,0.0,0.0
1612728000000,106772.45088617477,106772.45088617477,0,0.0,0.0,0.0,0.0
1612742400000,106772.45088617477,106772.45088617477,0,0.0,0.0,0.0,0.0
1612756800000,106772.45088617477,106772.45088617477,0,0.0,0.0,0.0,0.0
1612771200000,106772.45088617477,106772.45088617477,0,0.0,0.0,0.0,0.0
1612785600000,106772.45088617477,106772.45088617477,0,0.0,0.0,0.0,0.0
1612800000000,106772.45088617477,106772.45088617477,0,0.0,0.0,0.0,0.0
1612814400000,106772.45088617477,106772.45088617477,0,0.0,0.0,0.0,0.0
1612828800000,106772.45088617477,106772.45088617477,0,0.0,0.0,0.0,0.0
1612843200000,106772.45088617477,106772.45088617477,0,0.0,0.0,0.0,0.0
1612857600000,106772.45088617477,106772.45088617477,0,0.0,0.0,0.0,0.0
1612872000000,106772.45088617477,106772.45088617477,0,0.0,0.0,0.0,0.0
1612886400000,106772.45088617477,106772.45088617477,0,0.0,0.0,0.0,0.0
1612900800000,106772.45088617477,106772.45088617477,0,0.0,0.0,0.0,0.0
1612915200000,106772.45088617477,106772.45088617477,0,0.0,0.0,0.0,0.0
1612929600000,106772.45088617477,106772.45088617477,0,0.0,0.0,0.0,0.0
1612944000000,106772.45088617477,106772.45088617477,0,0.0,0.0,0.0,0.0
1612958400000,106772.45088617477,106772.45088617477,0,0.0,0.0,0.0,0.0
1612972800000,106772.45088617477,106772.45088617477,0,0.0,0.0,0.0,0.0
1612987200000,106772.45088617477,106772.45088617477,0,0.0,0.0,0.0,0.0
1613001600000,106772.45088617477,106772.45088617477,0,0.0,0.0,0.0,0.0
1613016000000,106772.45088617477,106772.45088617477,0,0.0,0.0,0.0,0.0
1613030400000,106772.45088617477,106772.45088617477,0,0.0,0.0,0.0,0.0
1613044800000,106772.45088617477,106772.45088617477,0,0.0,0.0,0.0,0.0
1613059200000,106772.45088617477,106772.45088617477,0,0.0,0.0,0.0,0.0
1613073600000,106772.45088617477,106772.45088617477,0,0.0,0.0,0.0,0.0
1613088000000,106772.45088617477,106772.45088617477,0,0.0,0.0,0.0,0.0
1613102400000,106772.45088617477,106772.45088617477,0,0.0,0.0,0.0,0.0
1613116800000,106772.45088617477,106772.45088617477,0,0.0,0.0,0.0,0.0
1613131200000,106772.45088617477,106772.45088617477,0,0.0,0.0,0.0,0.0
1613145600000,106772.45088617477,106772.45088617477,0,0.0,0.0,0.0,0.0
1613160000000,106772.45088617477,106772.45088617477,0,0.0,0.0,0.0,0.0
1613174400000,106772.45088617477,106772.45088617477,0,0.0,0.0,0.0,0.0
1613188800000,106772.45088617477,106772.45088617477,0,0.0,0.0,0.0,0.0
1613203200000,106772.45088617477,106772.45088617477,0,0.0,0.0,0.0,0.0
1613217600000,106772.45088617477,106772.45088617477,0,0.0,0.0,0.0,0.0
1613232000000,106772.45088617477,106772.45088617477,0,0.0,0.0,0.0,0.0
1613246400000,106772.45088617477,106772.45088617477,0,0.0,0.0,0.0,0.0
1613260800000,106772.45088617477,106772.45088617477,0,0.0,0.0,0.0,0.0
1613275200000,106772.45088617477,106772.45088617477,0,0.0,0.0,0.0,0.0
1613289600000,106772.45088617477,106772.45088617477,0,0.0,0.0,0.0,0.0
1613304000000,106772.45088617477,106772.45088617477,0,0.0,0.0,0.0,0.0
1613318400000,106772.45088617477,106772.45088617477,0,0.0,0.0,0.0,0.0
1613332800000,106772.45088617477,106772.45088617477,0,0.0,0.0,0.0,0.0
1613347200000,106772.45088617477,106772.45088617477,0,0.0,0.0,0.0,0.0
1613361600000,106772.45088617477,106772.45088617477,0,0.0,0.0,0.0,0.0
1613376000000,106772.45088617477,106772.45088617477,0,0.0,0.0,0.0,0.0
1613390400000,106772.45088617477,106772.45088617477,0,0.0,0.0,0.0,0.0
1613404800000,106772.45088617477,106772.45088617477,0,0.0,0.0,0.0,0.0
1613419200000,106772.45088617477,106772.45088617477,0,0.0,0.0,0.0,0.0
1613433600000,106772.45088617477,106772.45088617477,0,0.0,0.0,0.0,0.0
1613448000000,106772.45088617477,106772.45088617477,0,0.0,0.0,0.0,0.0
1613462400000,106772.45088617477,106772.45088617477,0,0.0,0.0,0.0,0.0
1613476800000,106772.45088617477,106772.45088617477,0,0.0,0.0,0.0,0.0
1613491200000,106772.45088617477,106772.45088617477,0,0.0,0.0,0.0,0.0
1613505600000,106772.45088617477,106772.45088617477,0,0.0,0.0,0.0,0.0
1613520000000,106772.45088617477,106772.45088617477,0,0.0,0.0,0.0,0.0
1613534400000,106772.45088617477,106772.45088617477,0,0.0,0.0,0.0,0.0
1613548800000,106772.45088617477,106772.45088617477,0,0.0,0.0,0.0,0.0
1613563200000,106772.45088617477,106772.45088617477,0,0.0,0.0,0.0,0.0
1613577600000,106772.45088617477,106772.45088617477,0,0.0,0.0,0.0,0.0
1613592000000,106772.45088617477,106772.45088617477,0,0.0,0.0,0.0,0.0
1613606400000,106772.45088617477,106772.45088617477,0,0.0,0.0,0.0,0.0
1613620800000,106772.45088617477,106772.45088617477,0,0.0,0.0,0.0,0.0
1613635200000,106772.45088617477,106772.45088617477,0,0.0,0.0,0.0,0.0
1613649600000,106772.45088617477,106772.45088617477,0,0.0,0.0,0.0,0.0
1613664000000,106772.45088617477,106772.45088617477,0,0.0,0.0,0.0,0.0
1613678400000,107118.52479358758,106746.51450338172,1,52244.775876311316,2135.4490177234957,0.0,0.0
1613692800000,107556.81306303838,106746.51450338172,1,52683.06414576212,2135.4490177234957,0.0,0.0
1613707200000,106768.38725275679,106703.31444412917,1,51937.83839473308,2135.4490177234957,0.0,0.0
1613721600000,106991.1950974745,106703.31444412917,1,52160.64623945079,2135.4490177234957,0.0,0.0
1613736000000,107397.82752751122,106630.4079440609,1,52640.185169555785,2135.4490177234957,0.0,0.0
1613750400000,107227.12578046197,106630.4079440609,1,52469.48342250653,2135.4490177234957,0.0,0.0
1613764800000,107861.41239064655,106541.72244909569,1,53192.455527656326,2135.4490177234957,0.0,0.0
1613779200000,107822.06143146986,106541.72244909569,1,53153.104568479626,2135.4490177234957,0.0,0.0
1613793600000,109517.02970743338,106437.4020399454,1,54952.39325359344,2135.4490177234957,0.0,0.0
1613808000000,108558.4946190741,106437.4020399454,1,53993.85816523416,2135.4490177234957,0.0,0.0
1613822400000,108904.1203689969,106334.96962710455,1,54441.916327997795,2135.4490177234957,0.0,0.0
1613836800000,108228.09802893377,106334.96962710455,1,53765.89398793468,2135.4490177234957,0.0,0.0
1613851200000,108523.36702026239,106235.10071111406,1,54161.03189525379,2135.4490177234957,0.0,0.0
1613865600000,104064.84054552436,104064.84054552436,0,0.0,0.0,0.0,0.0
1613880000000,104064.84054552436,104064.84054552436,0,0.0,0.0,0.0,0.0
1613894400000,104064.84054552436,104064.84054552436,0,0.0,0.0,0.0,0.0
1613908800000,104064.84054552436,104064.84054552436,0,0.0,0.0,0.0,0.0
1613923200000,104064.84054552436,104064.84054552436,0,0.0,0.0,0.0,0.0
1613937600000,104064.84054552436,104064.84054552436,0,0.0,0.0,0.0,0.0
1613952000000,104064.84054552436,104064.84054552436,0,0.0,0.0,0.0,0.0
1613966400000,104064.84054552436,104064.84054552436,0,0.0,0.0,0.0,0.0
1613980800000,104064.84054552436,104064.84054552436,0,0.0,0.0,0.0,0.0
1613995200000,104064.84054552436,104064.84054552436,0,0.0,0.0,0.0,0.0
1614009600000,104064.84054552436,104064.84054552436,0,0.0,0.0,0.0,0.0
1614024000000,104064.84054552436,104064.84054552436,0,0.0,0.0,0.0,0.0
1614038400000,104064.84054552436,104064.84054552436,0,0.0,0.0,0.0,0.0
1614052800000,104064.84054552436,104064.84054552436,0,0.0,0.0,0.0,0.0
1614067200000,104064.84054552436,104064.84054552436,0,0.0,0.0,0.0,0.0
1614081600000,104064.84054552436,104064.84054552436,0,0.0,0.0,0.0,0.0
1614096000000,104064.84054552436,104064.84054552436,0,0.0,0.0,0.0,0.0
1614110400000,104064.84054552436,104064.84054552436,0,0.0,0.0,0.0,0.0
1614124800000,104064.84054552436,104064.84054552436,0,0.0,0.0,0.0,0.0
1614139200000,104064.84054552436,104064.84054552436,0,0.0,0.0,0.0,0.0
1614153600000,104064.84054552436,104064.84054552436,0,0.0,0.0,0.0,0.0
1614168000000,104064.84054552436,104064.84054552436,0,0.0,0.0,0.0,0.0
1614182400000,104064.84054552436,104064.84054552436,0,0.0,0.0,0.0,0.0
1614196800000,104064.84054552436,104064.84054552436,0,0.0,0.0,0.0,0.0
1614211200000,104064.84054552436,104064.84054552436,0,0.0,0.0,0.0,0.0
1614225600000,104064.84054552436,104064.84054552436,0,0.0,0.0,0.0,0.0
1614240000000,104064.84054552436,104064.84054552436,0,0.0,0.0,0.0,0.0
1614254400000,104064.84054552436,104064.84054552436,0,0.0,0.0,0.0,0.0
1614268800000,104064.84054552436,104064.84054552436,0,0.0,0.0,0.0,0.0
1614283200000,104064.84054552436,104064.84054552436,0,0.0,0.0,0.0,0.0
1614297600000,104064.84054552436,104064.84054552436,0,0.0,0.0,0.0,0.0
1614312000000,104064.84054552436,104064.84054552436,0,0.0,0.0,0.0,0.0
1614326400000,104064.84054552436,104064.84054552436,0,0.0,0.0,0.0,0.0
1614340800000,104064.84054552436,104064.84054552436,0,0.0,0.0,0.0,0.0
1614355200000,104064.84054552436,104064.84054552436,0,0.0,0.0,0.0,0.0
1614369600000,104064.84054552436,104064.84054552436,0,0.0,0.0,0.0,0.0
1614384000000,104064.84054552436,104064.84054552436,0,0.0,0.0,0.0,0.0
1614398400000,104064.84054552436,104064.84054552436,0,0.0,0.0,0.0,0.0
1614412800000,104064.84054552436,104064.84054552436,0,0.0,0.0,0.0,0.0
1614427200000,104064.84054552436,104064.84054552436,0,0.0,0.0,0.0,0.0
